package	installed	version	library_path
Seurat	TRUE	5.5.1	/home/jinshengxi/Rlibrary/packages/Seurat
SeuratObject	TRUE	5.4.0	/home/jinshengxi/Rlibrary/packages/SeuratObject
harmony	TRUE	2.0.5	/home/jinshengxi/Rlibrary/packages/harmony
DoubletFinder	TRUE	2.0.6	/home/jinshengxi/Rlibrary/LLPS_pipeline_v1_20260914_150459/DoubletFinder
SCP	TRUE	0.5.6	/home/jinshengxi/Rlibrary/packages/SCP
qs	TRUE	0.27.3	/home/jinshengxi/Rlibrary/packages/qs
qs2	TRUE	0.3.1	/home/jinshengxi/Rlibrary/LLPS_pipeline_v1_20260914_150459/qs2
Matrix	TRUE	1.7.2	/usr/lib/R/library/Matrix
dplyr	TRUE	1.2.1	/home/jinshengxi/Rlibrary/packages/dplyr
ggplot2	TRUE	3.5.2	/home/jinshengxi/Rlibrary/packages/ggplot2
patchwork	TRUE	1.3.2	/home/jinshengxi/Rlibrary/packages/patchwork
RhpcBLASctl	TRUE	0.23.42	/home/jinshengxi/Rlibrary/packages/RhpcBLASctl
future	TRUE	1.70.0	/home/jinshengxi/Rlibrary/packages/future
