group	n_cells	group_type	n_features_union
ALL	410466	total	72872
CNP0000460	94588	dataset	72872
GSE135337	40815	dataset	72872
GSE222315	84483	dataset	72872
HRA003620	95275	dataset	72872
InhouseData	95305	dataset	72872
CNP0000460_P01N	12987	orig.ident	72872
CNP0000460_P01T	10900	orig.ident	72872
CNP0000460_P02N	4372	orig.ident	72872
CNP0000460_P02T	10006	orig.ident	72872
CNP0000460_P03N	5911	orig.ident	72872
CNP0000460_P03T	5410	orig.ident	72872
CNP0000460_P04T	12294	orig.ident	72872
CNP0000460_P05N	4615	orig.ident	72872
CNP0000460_P05T	9674	orig.ident	72872
CNP0000460_P06T	8960	orig.ident	72872
CNP0000460_P07N	4583	orig.ident	72872
CNP0000460_P07T	4876	orig.ident	72872
GSE222315_p1_BCa	8707	orig.ident	72872
GSE222315_p2_BCa	12863	orig.ident	72872
GSE222315_p2_NAT	9171	orig.ident	72872
GSE222315_p3_BCa	7782	orig.ident	72872
GSE222315_p4_BCa	5769	orig.ident	72872
GSE222315_p4_NAT	6297	orig.ident	72872
GSE222315_p5_BCa	6492	orig.ident	72872
GSE222315_p5_NAT	5545	orig.ident	72872
GSE222315_p6_BCa	4991	orig.ident	72872
GSE222315_p7_BCa	4728	orig.ident	72872
GSE222315_p8_BCa	6310	orig.ident	72872
GSE222315_p9_BCa	5828	orig.ident	72872
GSM4006644_BC1	3135	orig.ident	72872
GSM4006645_BC2	4806	orig.ident	72872
GSM4006646_BC3	3023	orig.ident	72872
GSM4006647_BC4	4920	orig.ident	72872
GSM4006648_BC5	8045	orig.ident	72872
GSM4751267_BC6	5863	orig.ident	72872
GSM4751268_BC7	5279	orig.ident	72872
GSM5329919_BCN	5744	orig.ident	72872
HRA003620_BC-01	7339	orig.ident	72872
HRA003620_BC-04	4075	orig.ident	72872
HRA003620_BC-05	7024	orig.ident	72872
HRA003620_BC-11	7804	orig.ident	72872
HRA003620_BC-24	8336	orig.ident	72872
HRA003620_BC-27	5209	orig.ident	72872
HRA003620_BC-30	9330	orig.ident	72872
HRA003620_NC-01	2021	orig.ident	72872
HRA003620_NC-04	6505	orig.ident	72872
HRA003620_NC-05	6468	orig.ident	72872
HRA003620_NC-11	7111	orig.ident	72872
HRA003620_NC-24	4356	orig.ident	72872
HRA003620_NC-27	8207	orig.ident	72872
HRA003620_NC-30	11490	orig.ident	72872
T4091568	6982	orig.ident	72872
T4295396	6567	orig.ident	72872
T4380845	3510	orig.ident	72872
T4398343	9618	orig.ident	72872
T4450398	13400	orig.ident	72872
T4463209a	8336	orig.ident	72872
T4463209b	5274	orig.ident	72872
T4465219	12964	orig.ident	72872
T4465935	4940	orig.ident	72872
T4466585	3774	orig.ident	72872
T4469479	5246	orig.ident	72872
T4471438	9830	orig.ident	72872
T8009218	4864	orig.ident	72872
