dataset_name	object_name	orig_ident	n_cells
HRA003620	qs_object	HRA003620_BC-01	7339
HRA003620	qs_object	HRA003620_BC-04	4075
HRA003620	qs_object	HRA003620_BC-05	7024
HRA003620	qs_object	HRA003620_BC-11	7804
HRA003620	qs_object	HRA003620_BC-24	8336
HRA003620	qs_object	HRA003620_BC-27	5209
HRA003620	qs_object	HRA003620_BC-30	9330
HRA003620	qs_object	HRA003620_NC-01	2021
HRA003620	qs_object	HRA003620_NC-04	6505
HRA003620	qs_object	HRA003620_NC-05	6468
HRA003620	qs_object	HRA003620_NC-11	7111
HRA003620	qs_object	HRA003620_NC-24	4356
HRA003620	qs_object	HRA003620_NC-27	8207
HRA003620	qs_object	HRA003620_NC-30	11490
GSE135337	GSE135337_scRNA_original	GSM4006644_BC1	3135
GSE135337	GSE135337_scRNA_original	GSM4006645_BC2	4806
GSE135337	GSE135337_scRNA_original	GSM4006646_BC3	3023
GSE135337	GSE135337_scRNA_original	GSM4006647_BC4	4920
GSE135337	GSE135337_scRNA_original	GSM4006648_BC5	8045
GSE135337	GSE135337_scRNA_original	GSM4751267_BC6	5863
GSE135337	GSE135337_scRNA_original	GSM4751268_BC7	5279
GSE135337	GSE135337_scRNA_original	GSM5329919_BCN	5744
GSE222315	GSE222315_scRNA_original	GSE222315_p1_BCa	8707
GSE222315	GSE222315_scRNA_original	GSE222315_p2_BCa	12863
GSE222315	GSE222315_scRNA_original	GSE222315_p2_NAT	9171
GSE222315	GSE222315_scRNA_original	GSE222315_p3_BCa	7782
GSE222315	GSE222315_scRNA_original	GSE222315_p4_BCa	5769
GSE222315	GSE222315_scRNA_original	GSE222315_p4_NAT	6297
GSE222315	GSE222315_scRNA_original	GSE222315_p5_BCa	6492
GSE222315	GSE222315_scRNA_original	GSE222315_p5_NAT	5545
GSE222315	GSE222315_scRNA_original	GSE222315_p6_BCa	4991
GSE222315	GSE222315_scRNA_original	GSE222315_p7_BCa	4728
GSE222315	GSE222315_scRNA_original	GSE222315_p8_BCa	6310
GSE222315	GSE222315_scRNA_original	GSE222315_p9_BCa	5828
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P01N	12987
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P01T	10900
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P02N	4372
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P02T	10006
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P03N	5911
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P03T	5410
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P04T	12294
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P05N	4615
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P05T	9674
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P06T	8960
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P07N	4583
CNP0000460	CNP0000460_scRNA_original	CNP0000460_P07T	4876
InhouseData	InhouseData_scRNA_original	T4091568	6982
InhouseData	InhouseData_scRNA_original	T4295396	6567
InhouseData	InhouseData_scRNA_original	T4380845	3510
InhouseData	InhouseData_scRNA_original	T4398343	9618
InhouseData	InhouseData_scRNA_original	T4450398	13400
InhouseData	InhouseData_scRNA_original	T4463209a	8336
InhouseData	InhouseData_scRNA_original	T4463209b	5274
InhouseData	InhouseData_scRNA_original	T4465219	12964
InhouseData	InhouseData_scRNA_original	T4465935	4940
InhouseData	InhouseData_scRNA_original	T4466585	3774
InhouseData	InhouseData_scRNA_original	T4469479	5246
InhouseData	InhouseData_scRNA_original	T4471438	9830
InhouseData	InhouseData_scRNA_original	T8009218	4864
