marker_group	gene	present
mitochondrial	MT-TF	TRUE
mitochondrial	MT-RNR1	TRUE
mitochondrial	MT-TV	TRUE
mitochondrial	MT-RNR2	TRUE
mitochondrial	MT-TL1	TRUE
mitochondrial	MT-ND1	TRUE
mitochondrial	MT-TI	TRUE
mitochondrial	MT-TQ	TRUE
mitochondrial	MT-TM	TRUE
mitochondrial	MT-ND2	TRUE
mitochondrial	MT-TW	TRUE
mitochondrial	MT-TA	TRUE
mitochondrial	MT-TN	TRUE
mitochondrial	MT-TC	TRUE
mitochondrial	MT-TY	TRUE
mitochondrial	MT-CO1	TRUE
mitochondrial	MT-TS1	TRUE
mitochondrial	MT-TD	TRUE
mitochondrial	MT-CO2	TRUE
mitochondrial	MT-TK	TRUE
mitochondrial	MT-ATP8	TRUE
mitochondrial	MT-ATP6	TRUE
mitochondrial	MT-CO3	TRUE
mitochondrial	MT-TG	TRUE
mitochondrial	MT-ND3	TRUE
mitochondrial	MT-TR	TRUE
mitochondrial	MT-ND4L	TRUE
mitochondrial	MT-ND4	TRUE
mitochondrial	MT-TH	TRUE
mitochondrial	MT-TS2	TRUE
mitochondrial	MT-TL2	TRUE
mitochondrial	MT-ND5	TRUE
mitochondrial	MT-ND6	TRUE
mitochondrial	MT-TE	TRUE
mitochondrial	MT-CYB	TRUE
mitochondrial	MT-TT	TRUE
mitochondrial	MT-TP	TRUE
hemoglobin	HBA1	TRUE
hemoglobin	HBA2	TRUE
hemoglobin	HBB	TRUE
hemoglobin	HBD	TRUE
hemoglobin	HBE1	TRUE
hemoglobin	HBG1	TRUE
hemoglobin	HBG2	TRUE
hemoglobin	HBM	TRUE
hemoglobin	HBQ1	TRUE
hemoglobin	HBZ	TRUE
