orig.ident	dataset	n_cells_preQC	n_cells	expected_rate	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	doublet_number	singlet_number
CNP0000460_P01N	CNP0000460	12987	12987	0.08	0.04	1039	0.102021174205967	933	933	12054
CNP0000460_P01T	CNP0000460	10900	10900	0.08	0.17	872	0.103211009174312	782	782	10118
CNP0000460_P02N	CNP0000460	4372	4372	0.034976	0.3	153	0.065359477124183	143	143	4229
CNP0000460_P02T	CNP0000460	10006	10006	0.08	0.02	800	0.145	684	684	9322
CNP0000460_P03N	CNP0000460	5911	5911	0.047288	0.29	280	0.0821428571428572	257	257	5654
CNP0000460_P03T	CNP0000460	5410	5410	0.04328	0.3	234	0.0897435897435898	213	213	5197
CNP0000460_P04T	CNP0000460	12294	12294	0.08	0.3	984	0.0975609756097561	888	888	11406
CNP0000460_P05N	CNP0000460	4615	4615	0.03692	0.3	170	0.0882352941176471	155	155	4460
CNP0000460_P05T	CNP0000460	9674	9674	0.077392	0.02	749	0.0881174899866488	683	683	8991
CNP0000460_P06T	CNP0000460	8960	8960	0.07168	0.19	642	0.11214953271028	570	570	8390
CNP0000460_P07N	CNP0000460	4583	4583	0.036664	0.16	168	0.0952380952380952	152	152	4431
CNP0000460_P07T	CNP0000460	4876	4876	0.039008	0.14	190	0.0842105263157895	174	174	4702
GSE222315_p1_BCa	GSE222315	8707	8707	0.069656	0.26	606	0.0957095709570958	548	548	8159
GSE222315_p2_BCa	GSE222315	12863	12863	0.08	0.15	1029	0.098153547133139	928	928	11935
GSE222315_p2_NAT	GSE222315	9171	9171	0.073368	0.2	673	0.12927191679049	586	586	8585
GSE222315_p3_BCa	GSE222315	7782	7782	0.062256	0.25	484	0.0971074380165289	437	437	7345
GSE222315_p4_BCa	GSE222315	5769	5769	0.046152	0.15	266	0.0977443609022557	240	240	5529
GSE222315_p4_NAT	GSE222315	6297	6297	0.050376	0.005	317	0.0883280757097792	289	289	6008
GSE222315_p5_BCa	GSE222315	6492	6492	0.051936	0.3	337	0.086053412462908	308	308	6184
GSE222315_p5_NAT	GSE222315	5545	5545	0.04436	0.3	246	0.0894308943089431	224	224	5321
GSE222315_p6_BCa	GSE222315	4991	4991	0.039928	0.09	199	0.115577889447236	176	176	4815
