orig.ident	doublet_number	singlet_number
CNP0000460_P01N	849	10908
CNP0000460_P01T	705	8962
CNP0000460_P02N	116	3510
CNP0000460_P02T	682	9286
CNP0000460_P03N	220	4879
CNP0000460_P03T	171	4196
CNP0000460_P04T	874	11261
CNP0000460_P05N	129	3737
CNP0000460_P05T	651	8648
CNP0000460_P06T	550	8123
CNP0000460_P07N	139	4154
CNP0000460_P07T	169	4580
GSE222315_p1_BCa	481	7191
GSE222315_p2_BCa	842	10880
GSE222315_p2_NAT	444	6637
GSE222315_p3_BCa	333	5693
GSE222315_p4_BCa	198	4561
GSE222315_p4_NAT	229	4703
GSE222315_p5_BCa	258	5231
GSE222315_p5_NAT	174	4195
GSE222315_p6_BCa	123	3336
GSE222315_p7_BCa	137	3822
GSE222315_p8_BCa	245	5032
GSE222315_p9_BCa	194	4348
GSM4006644_BC1	59	2725
GSM4006645_BC2	151	4225
GSM4006646_BC3	62	2843
GSM4006647_BC4	141	4211
GSM4006648_BC5	384	6214
GSM4751267_BC6	200	4768
GSM4751268_BC7	172	4540
GSM5329919_BCN	215	5011
HRA003620_BC-01	292	5498
HRA003620_BC-04	89	3026
HRA003620_BC-05	319	6125
HRA003620_BC-11	344	5936
HRA003620_BC-24	483	7592
HRA003620_BC-27	164	4201
HRA003620_BC-30	519	7146
HRA003620_NC-01	22	1527
HRA003620_NC-04	229	4936
HRA003620_NC-05	252	5044
HRA003620_NC-11	294	5365
HRA003620_NC-24	118	3841
HRA003620_NC-27	366	6013
HRA003620_NC-30	628	8060
T4091568	325	6077
T4295396	253	5103
T4380845	82	3094
T4398343	602	7863
T4450398	922	12388
T4463209a	466	7126
T4463209b	177	4404
T4465219	951	11964
T4465935	153	4071
T4466585	105	3657
T4469479	174	4617
T4471438	627	8184
T8009218	171	4658
