CNP0000460	GSE135337	GSE222315	HRA003620	InhouseData
7232	0	8729	20799	20653
10064	29496	3051	2075	2735
1967	61	1116	1517	3562
1183	1295	4753	383	419
385	170	5403	278	1059
724	1976	3571	250	652
705	429	2730	1039	1646
1	0	0	0	6261
821	1692	1667	234	1290
4560	10	82	36	53
82	8	30	33	4460
2563	2	147	121	807
28541	429	2829	8882	2905
788	1	172	2322	39
768	46	503	1043	786
512	2	262	242	1788
2493	4	38	154	35
1957	0	14	17	5
103	11	1439	1	13
23	3	1433	27	50
1385	0	1	2	1
138	105	32	18	922
113	0	8	966	2
6384	0	8730	11491	9740
15	0	0	7	982
0	0	785	3	2
89	277	91	154	75
228	2	20	396	23
603	0	2	2	4
16	1	377	0	1
0	0	0	394	0
82	0	62	22	184
2	2	293	0	16
41	0	145	22	88
3373	1	3346	7353	11783
0	0	231	0	1
0	0	0	100	0
3	0	74	3	12
0	0	81	0	0
12	24	0	27	0
0	0	0	60	0
0	47	0	0	0
0	1	43	0	1
2707	1	7450	5043	2785
3098	265	3571	5604	4151
2391	5	2003	5950	4513
1146	2166	2392	6218	2653
767	43	5107	546	1879
