CNP0000460_P01N	CNP0000460_P01T	CNP0000460_P02N	CNP0000460_P02T	CNP0000460_P03N	CNP0000460_P03T	CNP0000460_P04T	CNP0000460_P05N	CNP0000460_P05T	CNP0000460_P06T	CNP0000460_P07N	CNP0000460_P07T	GSE222315_p1_BCa	GSE222315_p2_BCa	GSE222315_p2_NAT	GSE222315_p3_BCa	GSE222315_p4_BCa	GSE222315_p4_NAT	GSE222315_p5_BCa	GSE222315_p5_NAT	GSE222315_p6_BCa	GSE222315_p7_BCa	GSE222315_p8_BCa	GSE222315_p9_BCa	GSM4006644_BC1	GSM4006645_BC2	GSM4006646_BC3	GSM4006647_BC4	GSM4006648_BC5	GSM4751267_BC6	GSM4751268_BC7	GSM5329919_BCN	HRA003620_BC-01	HRA003620_BC-04	HRA003620_BC-05	HRA003620_BC-11	HRA003620_BC-24	HRA003620_BC-27	HRA003620_BC-30	HRA003620_NC-01	HRA003620_NC-04	HRA003620_NC-05	HRA003620_NC-11	HRA003620_NC-24	HRA003620_NC-27	HRA003620_NC-30	T4091568	T4295396	T4380845	T4398343	T4450398	T4463209a	T4463209b	T4465219	T4465935	T4466585	T4469479	T4471438	T8009218
870	311	615	383	960	949	1091	134	161	1185	392	181	1920	28	830	1441	1628	1046	544	1050	42	1	187	12	0	0	0	0	0	0	0	0	2870	75	1338	3855	2042	1294	2254	253	160	1070	1793	887	1648	1260	1203	2146	1094	2188	2600	2239	1323	628	943	437	1411	3499	942
2041	882	0	730	396	159	1603	944	1563	907	381	458	0	1279	3	0	0	47	15	42	646	477	0	542	2027	3418	2429	3224	5648	5318	4641	2791	0	79	189	1	774	103	69	0	6	0	1	458	395	0	48	137	16	22	0	4	20	2144	118	2	158	17	49
4	12	177	1209	6	5	316	3	18	167	14	36	65	2	294	87	44	121	469	21	6	1	3	3	0	1	0	1	15	2	1	41	449	3	81	176	4	195	434	7	1	80	45	1	14	27	321	130	48	643	114	1840	108	101	157	19	23	38	20
67	642	0	57	22	13	161	34	135	30	3	19	0	4373	0	0	9	0	0	0	69	91	0	211	106	119	91	692	252	5	13	17	0	19	103	23	2	0	3	0	0	0	229	1	2	1	8	203	3	4	0	0	1	124	3	0	31	5	37
8	18	0	14	1	1	29	0	55	61	2	196	1996	58	27	124	496	31	1269	14	69	335	845	139	0	0	0	0	72	4	0	94	0	1	0	1	0	1	0	0	194	1	1	14	47	18	90	14	25	96	1	62	118	184	46	58	62	207	96
21	295	0	32	13	11	118	21	123	36	1	53	8	2270	0	0	7	1	17	0	128	902	0	238	189	637	105	643	321	33	32	16	6	28	193	6	0	0	0	0	11	1	0	3	2	0	2	166	24	97	0	10	8	105	68	16	77	13	66
31	282	28	80	18	23	34	15	44	101	12	37	232	1076	4	91	282	102	62	52	308	248	14	259	83	163	2	76	83	0	2	20	178	39	81	197	91	43	104	27	2	94	93	5	3	82	5	91	169	350	89	288	49	100	106	9	61	222	107
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5895	0	2	0	0	0	0	341	5
71	103	0	20	204	104	64	60	48	59	39	49	0	959	0	0	0	0	6	4	69	188	0	441	577	144	176	32	482	14	216	51	0	5	101	0	10	2	3	0	2	1	1	53	56	0	224	34	3	5	1	24	188	479	16	2	26	199	89
25	4067	1	27	59	59	175	7	95	8	16	21	0	24	0	0	2	0	0	0	5	7	0	44	4	2	0	4	0	0	0	0	1	12	3	8	0	0	4	0	0	0	8	0	0	0	5	5	0	0	0	0	0	9	0	0	1	2	31
