"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.06278793051135,0.942,0.148,0,"0","CCL5"
0,4.61021270154298,0.834,0.082,0,"0","NKG7"
0,3.89322432082095,0.75,0.079,0,"0","GZMA"
0,3.17413907181436,0.728,0.131,0,"0","CST7"
0,3.73133520715662,0.693,0.115,0,"0","CCL4"
0,4.72069737479916,0.621,0.046,0,"0","GZMB"
0,1.88369153592437,0.953,0.39,0,"0","PTPRC"
0,2.44659029760375,0.788,0.235,0,"0","HCST"
0,1.98508519501515,0.741,0.191,0,"0","CD2"
0,2.26052132473284,0.756,0.209,0,"0","CD3D"
0,2.04815778004704,0.844,0.308,0,"0","FYN"
0,2.60112708021619,0.666,0.146,0,"0","CD7"
0,3.94359163186159,0.564,0.046,0,"0","CD8A"
0,3.5293800864356,0.585,0.072,0,"0","LINC01871"
0,2.1527231652808,0.676,0.164,0,"0","CD3E"
0,1.70584565112076,0.838,0.331,0,"0","IL32"
0,2.53131907362877,0.667,0.167,0,"0","PTPN22"
0,2.47129571350997,0.637,0.149,0,"0","CD3G"
0,4.42680066763503,0.519,0.035,0,"0","GZMH"
0,2.06004533994084,0.652,0.175,0,"0","CD247"
0,2.29144794545678,0.683,0.22,0,"0","SYTL3"
0,1.97679117369485,0.683,0.222,0,"0","TRBC2"
0,2.69022167996296,0.564,0.103,0,"0","THEMIS"
0,1.78123035342352,0.699,0.238,0,"0","SKAP1"
0,1.86759157053754,0.681,0.222,0,"0","CD69"
0,2.2626638983512,0.63,0.174,0,"0","RUNX3"
0,1.88944839228749,0.739,0.287,0,"0","CD52"
0,1.93260621823221,0.71,0.267,0,"0","CD96"
0,0.653341994800767,0.887,0.454,0,"0","SRGN"
0,4.3478989239086,0.482,0.05,0,"0","KLRD1"
0,4.1811067691872,0.47,0.041,0,"0","PRF1"
0,1.6546713467394,0.677,0.249,0,"0","FYB1"
0,2.01693002314207,0.604,0.178,0,"0","TRAC"
0,3.90017317314977,0.462,0.038,0,"0","CD8B"
0,1.82068791997652,0.625,0.202,0,"0","STAT4"
0,4.23389604071821,0.46,0.043,0,"0","IFNG"
