"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.30085774716211,0.363,0.04,0,"0","GNLY"
0,5.15868864640962,0.27,0.015,0,"0","XCL2"
0,5.14158429404317,0.122,0.006,0,"0","TRDC"
0,5.05862035405868,0.112,0.004,0,"0","KLRC3"
0,5.01067188525008,0.14,0.005,0,"0","KIR2DL4"
0,4.98107718072588,0.223,0.012,0,"0","KLRC1"
0,4.97569871188802,0.167,0.008,0,"0","KLRC2"
0,4.94456948404208,0.35,0.019,0,"0","LINC02446"
0,4.72069737479916,0.621,0.046,0,"0","GZMB"
0,4.67973009350494,0.153,0.014,0,"0","XCL1"
0,4.61021270154298,0.834,0.082,0,"0","NKG7"
0,4.59820546293949,0.137,0.009,0,"0","PELO-AS1"
0,4.51855027511319,0.277,0.021,0,"0","CRTAM"
0,4.47409096973014,0.164,0.009,0,"0","ZNF683"
0,4.42680066763503,0.519,0.035,0,"0","GZMH"
0,4.3478989239086,0.482,0.05,0,"0","KLRD1"
0,4.34363732850052,0.104,0.006,0,"0","NCR1"
0,4.23389604071821,0.46,0.043,0,"0","IFNG"
0,4.2211601015648,0.193,0.011,0,"0","KLRC4"
0,4.1811067691872,0.47,0.041,0,"0","PRF1"
0,4.13759485054037,0.256,0.018,0,"0","KLRK1"
0,4.1163180652367,0.19,0.013,0,"0","FASLG"
0,4.11286408492453,0.443,0.049,0,"0","CTSW"
0,4.06278793051135,0.942,0.148,0,"0","CCL5"
0,3.97670800539399,0.103,0.009,0,"0","CCL3-AS1"
0,3.94359163186159,0.564,0.046,0,"0","CD8A"
0,3.90017317314977,0.462,0.038,0,"0","CD8B"
0,3.89322432082095,0.75,0.079,0,"0","GZMA"
0,3.78850076840569,0.293,0.026,0,"0","TRGC2"
0,3.73133520715662,0.693,0.115,0,"0","CCL4"
0,3.68143130493556,0.165,0.014,0,"0","EOMES"
0,3.54115451588501,0.183,0.021,0,"0","MATK"
0,3.5293800864356,0.585,0.072,0,"0","LINC01871"
0,3.51029339667931,0.103,0.012,0,"0","CD244"
0,3.40123736030925,0.36,0.041,0,"0","GZMK"
0,3.39486105965618,0.1,0.012,0,"0","ENSG00000270240"
0,3.38550289306207,0.135,0.02,0,"0","ADGRG5"
0,3.27969693914322,0.431,0.066,0,"0","TRG-AS1"
0,3.24736499846757,0.349,0.047,0,"0","SLA2"
0,3.22899669734464,0.248,0.029,0,"0","DTHD1"
0,3.20501681131662,0.349,0.044,0,"0","LAG3"
0,3.19024801588612,0.45,0.06,0,"0","SAMD3"
0,3.17413907181436,0.728,0.131,0,"0","CST7"
0,3.17154899872244,0.112,0.016,0,"0","ENSG00000274767"
0,3.13411264608034,0.108,0.015,0,"0","TOGARAM2"
0,3.07604829578385,0.173,0.027,0,"0","AKAP5"
0,3.05661821072515,0.264,0.04,0,"0","ABCB1"
0,3.04803800793004,0.492,0.098,0,"0","AOAH"
0,3.00542482778093,0.165,0.024,0,"0","TBX21"
0,2.99258183082187,0.116,0.016,0,"0","IL18RAP"
0,5.69777893105994,0.156,0.003,0,"1","C1orf186"
0,5.45687868293016,0.147,0.004,0,"1","RP11-277P12.20"
0,5.28545464462246,0.248,0.007,0,"1","RP11-44F21.5"
0,5.26739980598729,0.154,0.004,0,"1","PVRL1"
0,5.26399829096958,0.124,0.004,0,"1","CTD-2020K17.4"
0,5.25955417448476,0.205,0.006,0,"1","FAM60A"
0,5.25496734227535,0.111,0.003,0,"1","C1orf132"
0,5.23979981620586,0.131,0.004,0,"1","CH17-360D5.2"
0,5.19863312503312,0.453,0.014,0,"1","FAM213A"
0,5.08017240736752,0.101,0.003,0,"1","ORAOV1"
0,5.04064987199895,0.619,0.028,0,"1","GNB2L1"
0,5.01511611186823,0.432,0.015,0,"1","AES"
0,5.00900851415395,0.276,0.008,0,"1","FAM84A"
0,4.97650001208108,0.145,0.005,0,"1","C10orf11"
0,4.97040569605025,0.112,0.004,0,"1","INADL"
0,4.96995714002509,0.613,0.025,0,"1","ATP5G2"
