level	group	original_cells	QC_only_fail_cells	Doublet_only_cells	QC_Doublet_overlap_cells	all_QC_fail_cells	all_Doublets	final_retained_cells	final_retention_percentage
orig.ident	CNP0000460_P01N	12987	44	932	1	45	933	12010	92.4770924770925
orig.ident	CNP0000460_P01T	10900	3	782	0	3	782	10115	92.7981651376147
orig.ident	CNP0000460_P02N	4372	221	109	34	255	143	4008	91.6742909423605
orig.ident	CNP0000460_P02T	10006	1	684	0	1	684	9321	93.1541075354787
orig.ident	CNP0000460_P03N	5911	238	246	11	249	257	5416	91.6257824395195
orig.ident	CNP0000460_P03T	5410	164	191	22	186	213	5033	93.0314232902033
orig.ident	CNP0000460_P04T	12294	7	888	0	7	888	11399	92.7200260289572
orig.ident	CNP0000460_P05N	4615	207	151	4	211	155	4253	92.1560130010834
orig.ident	CNP0000460_P05T	9674	0	683	0	0	683	8991	92.9398387430225
orig.ident	CNP0000460_P06T	8960	1	570	0	1	570	8389	93.6272321428571
orig.ident	CNP0000460_P07N	4583	3	152	0	3	152	4428	96.61793584988
orig.ident	CNP0000460_P07T	4876	0	174	0	0	174	4702	96.4315012305168
orig.ident	GSE222315_p1_BCa	8707	588	528	20	608	548	7571	86.9530263006776
orig.ident	GSE222315_p2_BCa	12863	808	928	0	808	928	11127	86.5039259892716
orig.ident	GSE222315_p2_NAT	9171	817	426	160	977	586	7768	84.7017773416203
orig.ident	GSE222315_p3_BCa	7782	499	415	22	521	437	6846	87.9722436391673
orig.ident	GSE222315_p4_BCa	5769	464	231	9	473	240	5065	87.7968452071416
orig.ident	GSE222315_p4_NAT	6297	331	269	20	351	289	5677	90.1540416071145
orig.ident	GSE222315_p5_BCa	6492	672	301	7	679	308	5512	84.9044978434997
orig.ident	GSE222315_p5_NAT	5545	392	217	7	399	224	4929	88.8908926961226
orig.ident	GSE222315_p6_BCa	4991	984	100	76	1060	176	3831	76.7581646964536
orig.ident	GSE222315_p7_BCa	4728	336	164	0	336	164	4228	89.424703891709
orig.ident	GSE222315_p8_BCa	6310	603	267	27	630	294	5413	85.7844690966719
orig.ident	GSE222315_p9_BCa	5828	731	246	5	736	251	4846	83.1503088538092
orig.ident	GSM4006644_BC1	3135	0	69	0	0	69	3066	97.799043062201
orig.ident	GSM4006645_BC2	4806	12	165	0	12	165	4629	96.3171036204744
orig.ident	GSM4006646_BC3	3023	0	66	0	0	66	2957	97.8167383393979
orig.ident	GSM4006647_BC4	4920	37	151	5	42	156	4727	96.0772357723577
orig.ident	GSM4006648_BC5	8045	348	463	11	359	474	7223	89.7824735860783
orig.ident	GSM4751267_BC6	5863	204	234	6	210	240	5419	92.4270851100119
orig.ident	GSM4751268_BC7	5279	30	195	0	30	195	5054	95.7378291343057
orig.ident	GSM5329919_BCN	5744	5	239	0	5	239	5500	95.7520891364902
orig.ident	HRA003620_BC-01	7339	390	307	69	459	376	6573	89.562610709906
orig.ident	HRA003620_BC-04	4075	348	116	4	352	120	3607	88.5153374233129
orig.ident	HRA003620_BC-05	7024	178	331	14	192	345	6501	92.5541002277904
orig.ident	HRA003620_BC-11	7804	484	391	47	531	438	6882	88.1855458739108
orig.ident	HRA003620_BC-24	8336	0	498	0	0	498	7838	94.0259117082534
orig.ident	HRA003620_BC-27	5209	389	158	36	425	194	4626	88.8078325974275
orig.ident	HRA003620_BC-30	9330	789	572	66	855	638	7903	84.7052518756699
orig.ident	HRA003620_NC-01	2021	204	29	1	205	30	1787	88.421573478476
orig.ident	HRA003620_NC-04	6505	543	149	144	687	293	5669	87.1483474250577
orig.ident	HRA003620_NC-05	6468	742	227	81	823	308	5418	83.7662337662338
orig.ident	HRA003620_NC-11	7111	517	258	109	626	367	6227	87.5685557586837
orig.ident	HRA003620_NC-24	4356	0	131	0	0	131	4225	96.9926538108356
orig.ident	HRA003620_NC-27	8207	822	448	14	836	462	6923	84.3548190569026
orig.ident	HRA003620_NC-30	11490	1000	775	60	1060	835	9655	84.029590948651
orig.ident	T4091568	6982	0	357	0	0	357	6625	94.8868519048983
orig.ident	T4295396	6567	380	294	15	395	309	5878	89.508146794579
orig.ident	T4380845	3510	89	92	0	89	92	3329	94.8433048433048
orig.ident	T4398343	9618	5	688	0	5	688	8925	92.7947598253275
orig.ident	T4450398	13400	0	936	0	0	936	12464	93.0149253731343
orig.ident	T4463209a	8336	102	514	0	102	514	7720	92.6103646833013
orig.ident	T4463209b	5274	5	204	0	5	204	5065	96.0371634433068
orig.ident	T4465219	12964	1	954	0	1	954	12009	92.6334464671398
orig.ident	T4465935	4940	273	179	0	273	179	4488	90.8502024291498
orig.ident	T4466585	3774	4	105	0	4	105	3665	97.111817700053
orig.ident	T4469479	5246	1	191	0	1	191	5054	96.3400686237133
orig.ident	T4471438	9830	7	695	0	7	695	9128	92.8585961342828
orig.ident	T8009218	4864	6	172	0	6	172	4686	96.3404605263158
