orig.ident	dataset	total_cells	nCount_lower_cutoff	nCount_upper_cutoff	fail_nCount_low_count	fail_nCount_high_count	nFeature_lower_cutoff	nFeature_upper_cutoff	fail_nFeature_low_count	fail_nFeature_high_count
CNP0000460_P01N	CNP0000460	12987	296.91	39490.4571514886	0	0	298.716547016738	8561.77047612146	0	0
CNP0000460_P01T	CNP0000460	10900	968.1477246712	70765.551119199	0	0	864.268049428074	10588.4676292005	764	0
CNP0000460_P02N	CNP0000460	4372	807.592039933272	15122.8293181926	0	219	685.270858252868	3549.66949251421	102	252
CNP0000460_P02T	CNP0000460	10006	579.067906631879	25565.3187541446	0	33	411.985132834937	5838.94146095316	0	17
CNP0000460_P03N	CNP0000460	5911	774.067136005739	23943.8470175654	0	72	522.330740471171	5790.90321835676	7	22
CNP0000460_P03T	CNP0000460	5410	557.207624283068	15891.763935989	0	469	425.454646419522	4156.28147151181	0	563
CNP0000460_P04T	CNP0000460	12294	487.463991358336	25726.6385206066	0	152	394.848357048496	6210.0248943102	0	0
CNP0000460_P05N	CNP0000460	4615	487.929549010448	8527.35343750291	0	289	385.221633901035	3316.84625075754	0	212
CNP0000460_P05T	CNP0000460	9674	492.833556163788	35532.6748201453	0	3	452.804282461207	8738.60901931117	0	0
CNP0000460_P06T	CNP0000460	8960	438.085675530266	13408.4604495795	0	52	345.201894565239	4130.73937651704	0	8
CNP0000460_P07N	CNP0000460	4583	342.384952255581	36390.3005445245	0	1	277.152065449533	8327.12079340931	0	0
CNP0000460_P07T	CNP0000460	4876	535.136891787331	43017.8713988903	0	0	439.127808109608	8946.94631794597	0	0
GSE222315_p1_BCa	GSE222315	8707	559.47658989988	29437.9530220119	0	32	479.002251257831	6968.2193968547	0	0
GSE222315_p2_BCa	GSE222315	12863	391.562871376626	63504.8759188717	0	1	428.976144003044	8306.67020408164	0	0
GSE222315_p2_NAT	GSE222315	9171	1158.17904943268	5970.60637382792	197	850	610.169196411542	1886.32679391009	315	385
GSE222315_p3_BCa	GSE222315	7782	740.870423472096	10438.9484801557	0	866	475.396321991161	2813.80762570808	0	604
GSE222315_p4_BCa	GSE222315	5769	690.753436613555	18995.110903806	0	324	474.257024479132	5748.32901411535	0	19
GSE222315_p4_NAT	GSE222315	6297	953.138021112498	11887.6615447667	0	738	539.86208136432	3099.6518256368	14	579
GSE222315_p5_BCa	GSE222315	6492	586.497534786815	34820.4703699538	0	15	416.838735471603	6895.21558601484	0	0
GSE222315_p5_NAT	GSE222315	5545	998.917817225508	6229.52804208106	0	577	557.233120912305	2178.39236212235	9	433
GSE222315_p6_BCa	GSE222315	4991	2215.00719184022	24523.4619241824	527	38	1212.36956892092	6702.56683432704	460	0
GSE222315_p7_BCa	GSE222315	4728	544.519839857868	19846.8390865142	0	94	498.219629966088	6707.26986556495	0	0
GSE222315_p8_BCa	GSE222315	6310	1192.69890956364	36126.6094453035	85	6	740.802064575149	7226.72321086852	172	0
GSE222315_p9_BCa	GSE222315	5828	925.885379047298	35619.9254632284	0	0	883.705748570537	8873.36756535783	237	0
GSM4006644_BC1	GSE135337	3135	4539.43679237531	50303.1402059716	0	191	1723.52023633102	6969.10608908433	1	70
GSM4006645_BC2	GSE135337	4806	2684.66072550915	20698.5375372519	0	327	1176.63398197193	4676.52212005319	14	218
GSM4006646_BC3	GSE135337	3023	3055.04223090561	26139.9489672944	0	97	1306.36156985505	4441.61184810867	1	110
