dataset	group_name	group	initial_cells	Rule_A_retained	Rule_A_removed	Rule_A_retention_percent	Rule_B_retained	Rule_B_removed	Rule_B_retention_percent	Rule_C_retained	Rule_C_removed	Rule_C_retention_percent	B_minus_A_cells	C_minus_A_cells
CNP0000460	orig.ident	CNP0000460_P01N	12987	11757	1230	90.5289905289905	11757	1230	90.5289905289905	11757	1230	90.5289905289905	0	0
CNP0000460	orig.ident	CNP0000460_P01T	10900	9667	1233	88.6880733944954	9667	1233	88.6880733944954	9667	1233	88.6880733944954	0	0
CNP0000460	orig.ident	CNP0000460_P02N	4372	3626	746	82.9368709972553	3836	536	87.740164684355	3836	536	87.740164684355	210	210
CNP0000460	orig.ident	CNP0000460_P02T	10006	9968	38	99.620227863282	10005	1	99.9900059964022	10005	1	99.9900059964022	37	37
CNP0000460	orig.ident	CNP0000460_P03N	5911	5099	812	86.2628996785654	5165	746	87.3794620199628	5165	746	87.3794620199628	66	66
CNP0000460	orig.ident	CNP0000460_P03T	5410	4367	1043	80.720887245841	4800	610	88.724584103512	4800	610	88.724584103512	433	433
CNP0000460	orig.ident	CNP0000460_P04T	12294	12135	159	98.7066861883846	12287	7	99.9430616560924	12287	7	99.9430616560924	152	152
CNP0000460	orig.ident	CNP0000460_P05N	4615	3866	749	83.7703141928494	4072	543	88.2340195016251	4097	518	88.7757313109426	206	231
CNP0000460	orig.ident	CNP0000460_P05T	9674	9299	375	96.1236303493901	9302	372	96.154641306595	9302	372	96.154641306595	3	3
CNP0000460	orig.ident	CNP0000460_P06T	8960	8673	287	96.796875	8725	235	97.3772321428571	8725	235	97.3772321428571	52	52
CNP0000460	orig.ident	CNP0000460_P07N	4583	4293	290	93.672267073969	4294	289	93.6940868426795	4294	289	93.6940868426795	1	1
CNP0000460	orig.ident	CNP0000460_P07T	4876	4749	127	97.3954060705496	4749	127	97.3954060705496	4749	127	97.3954060705496	0	0
GSE222315	orig.ident	GSE222315_p1_BCa	8707	7672	1035	88.1130125186631	7704	1003	88.4805329045596	7704	1003	88.4805329045596	32	32
GSE222315	orig.ident	GSE222315_p2_BCa	12863	11722	1141	91.1295965171422	11723	1140	91.1373707533235	11723	1140	91.1373707533235	1	1
GSE222315	orig.ident	GSE222315_p2_NAT	9171	7081	2090	77.2107730890852	7305	1866	79.6532548249918	7956	1215	86.7517173699706	224	875
GSE222315	orig.ident	GSE222315_p3_BCa	7782	6026	1756	77.4351066563865	6725	1057	86.4173734258545	6929	853	89.0388075044976	699	903
GSE222315	orig.ident	GSE222315_p4_BCa	5769	4759	1010	82.4926330386549	5069	700	87.8661813139192	5072	697	87.9181833940024	310	313
GSE222315	orig.ident	GSE222315_p4_NAT	6297	4932	1365	78.3230109575989	5559	738	88.2801333968556	5703	594	90.5669366364936	627	771
GSE222315	orig.ident	GSE222315_p5_BCa	6492	5489	1003	84.5502156500308	5504	988	84.781269254467	5504	988	84.781269254467	15	15
GSE222315	orig.ident	GSE222315_p5_NAT	5545	4369	1176	78.7917042380523	4776	769	86.131650135257	4915	630	88.6384129846709	407	546
GSE222315	orig.ident	GSE222315_p6_BCa	4991	3459	1532	69.3047485473853	3495	1496	70.0260468843919	3495	1496	70.0260468843919	36	36
GSE222315	orig.ident	GSE222315_p7_BCa	4728	3959	769	83.7351945854484	4052	676	85.7021996615905	4052	676	85.7021996615905	93	93
GSE222315	orig.ident	GSE222315_p8_BCa	6310	5277	1033	83.6291600633914	5283	1027	83.7242472266244	5283	1027	83.7242472266244	6	6
GSE222315	orig.ident	GSE222315_p9_BCa	5828	4542	1286	77.9341111873713	4542	1286	77.9341111873713	4542	1286	77.9341111873713	0	0
GSE135337	orig.ident	GSM4006644_BC1	3135	2784	351	88.8038277511962	2967	168	94.6411483253589	2972	163	94.8006379585327	183	188
GSE135337	orig.ident	GSM4006645_BC2	4806	4376	430	91.0528506034124	4669	137	97.1493965875988	4704	102	97.8776529338327	293	328
GSE135337	orig.ident	GSM4006646_BC3	3023	2905	118	96.0965927886206	3010	13	99.5699636123057	3022	1	99.9669202778697	105	117
GSE135337	orig.ident	GSM4006647_BC4	4920	4352	568	88.4552845528455	4614	306	93.780487804878	4719	201	95.9146341463415	262	367
GSE135337	orig.ident	GSM4006648_BC5	8045	6598	1447	82.0136730888751	6846	1199	85.0963331261653	6852	1193	85.1709136109385	248	254
GSE135337	orig.ident	GSM4751267_BC6	5863	4968	895	84.7347774177043	5271	592	89.9027801466826	5381	482	91.7789527545625	303	413
GSE135337	orig.ident	GSM4751268_BC7	5279	4712	567	89.2593294184505	5112	167	96.8365220685736	5278	1	99.9810570183747	400	566
GSE135337	orig.ident	GSM5329919_BCN	5744	5226	518	90.9818941504178	5648	96	98.3286908077994	5716	28	99.5125348189415	422	490
HRA003620	orig.ident	HRA003620_BC-01	7339	5790	1549	78.8935822319117	6128	1211	83.4991143207521	6432	907	87.6413680337921	338	642
HRA003620	orig.ident	HRA003620_BC-04	4075	3115	960	76.441717791411	3115	960	76.441717791411	3115	960	76.441717791411	0	0
HRA003620	orig.ident	HRA003620_BC-05	7024	6444	580	91.7425968109339	6444	580	91.7425968109339	6444	580	91.7425968109339	0	0
HRA003620	orig.ident	HRA003620_BC-11	7804	6280	1524	80.4715530497181	6614	1190	84.7514095335725	6784	1020	86.929779600205	334	504
HRA003620	orig.ident	HRA003620_BC-24	8336	8075	261	96.8690019193858	8090	246	97.0489443378119	8090	246	97.0489443378119	15	15
HRA003620	orig.ident	HRA003620_BC-27	5209	4365	844	83.7972739489345	4440	769	85.2370896525245	4441	768	85.256287195239	75	76
HRA003620	orig.ident	HRA003620_BC-30	9330	7665	1665	82.1543408360129	7854	1476	84.1800643086817	7854	1476	84.1800643086817	189	189
HRA003620	orig.ident	HRA003620_NC-01	2021	1549	472	76.6452251360712	1673	348	82.7808015833746	1678	343	83.0282038594755	124	129
HRA003620	orig.ident	HRA003620_NC-04	6505	5165	1340	79.4004611837048	5222	1283	80.2767102229055	5222	1283	80.2767102229055	57	57
HRA003620	orig.ident	HRA003620_NC-05	6468	5296	1172	81.8800247371676	5336	1132	82.4984539270254	5336	1132	82.4984539270254	40	40
HRA003620	orig.ident	HRA003620_NC-11	7111	5659	1452	79.5809309520461	6100	1011	85.7825903529743	6142	969	86.3732245816341	441	483
HRA003620	orig.ident	HRA003620_NC-24	4356	3959	397	90.8861340679523	3959	397	90.8861340679523	3959	397	90.8861340679523	0	0
HRA003620	orig.ident	HRA003620_NC-27	8207	6379	1828	77.7263311806994	6390	1817	77.8603631046667	6390	1817	77.8603631046667	11	11
HRA003620	orig.ident	HRA003620_NC-30	11490	8688	2802	75.6135770234987	9709	1781	84.4995648389904	9754	1736	84.8912097476066	1021	1066
InhouseData	orig.ident	T4091568	6982	6402	580	91.6929246634202	6556	426	93.898596390719	6556	426	93.898596390719	154	154
InhouseData	orig.ident	T4295396	6567	5356	1211	81.5593117100655	5696	871	86.7367138723923	5981	586	91.0765950966956	340	625
InhouseData	orig.ident	T4380845	3510	3176	334	90.4843304843305	3248	262	92.5356125356125	3262	248	92.9344729344729	72	86
InhouseData	orig.ident	T4398343	9618	8465	1153	88.0120607194843	9368	250	97.4007070076939	9521	97	98.9914743189852	903	1056
InhouseData	orig.ident	T4450398	13400	13310	90	99.3283582089552	13376	24	99.8208955223881	13376	24	99.8208955223881	66	66
InhouseData	orig.ident	T4463209a	8336	7592	744	91.0748560460653	7883	453	94.5657389635317	7883	453	94.5657389635317	291	291
InhouseData	orig.ident	T4463209b	5274	4581	693	86.8600682593857	5079	195	96.3026166097838	5175	99	98.122866894198	498	594
InhouseData	orig.ident	T4465219	12964	12915	49	99.622030237581	12930	34	99.7377352668929	12930	34	99.7377352668929	15	15
InhouseData	orig.ident	T4465935	4940	4224	716	85.5060728744939	4384	556	88.7449392712551	4442	498	89.919028340081	160	218
InhouseData	orig.ident	T4466585	3774	3762	12	99.6820349761526	3770	4	99.8940116587175	3770	4	99.8940116587175	8	8
InhouseData	orig.ident	T4469479	5246	4791	455	91.3267251239039	4809	437	91.6698436904308	4809	437	91.6698436904308	18	18
InhouseData	orig.ident	T4471438	9830	8811	1019	89.6337741607325	9556	274	97.2126144455748	9604	226	97.7009155645982	745	793
InhouseData	orig.ident	T8009218	4864	4829	35	99.2804276315789	4853	11	99.7738486842105	4853	11	99.7738486842105	24	24
