dataset	orig.ident	n_MT_genes_matched	median_percent_mt	p95_percent_mt	p99_percent_mt	max_percent_mt	MAD_upper_cutoff	final_cutoff	fail_mt_cells	fail_mt_percent
CNP0000460	CNP0000460_P01N	37	8.44189682126107	17.8208783016316	19.5280844454705	19.9951702487322	16.2781305745506	16.2781305745506	1188	9.14760914760915
CNP0000460	CNP0000460_P01T	37	8.40438972576251	18.1862600928729	19.6018925433189	19.9927078269324	18.2886436603475	18.2886436603475	502	4.60550458715596
CNP0000460	CNP0000460_P02N	37	4.15620548759573	12.1611083960089	17.5239066721947	19.8999827556475	9.22332010470723	9.22332010470723	483	11.0475754803294
CNP0000460	CNP0000460_P02T	37	10.7577476989189	18.9159053262859	19.7587129778757	19.9948333763885	23.5097716243605	23.5097716243605	0	0
CNP0000460	CNP0000460_P03N	37	6.65035587188612	16.910335840354	19.4006994092908	19.9810606060606	13.9471024998902	13.9471024998902	730	12.3498562003045
CNP0000460	CNP0000460_P03T	37	7.13435768389552	17.316556543667	19.3891584565413	19.996063766975	14.5730288648512	14.5730288648512	596	11.0166358595194
CNP0000460	CNP0000460_P04T	37	9.09090909090909	18.4017565959575	19.703167214518	19.9958572119036	20.9589603399629	20.9589603399629	0	0
CNP0000460	CNP0000460_P05N	37	5.56088207094918	15.4803686996477	18.743470109405	19.9861207494795	12.8258758725138	12.8258758725138	490	10.6175514626219
CNP0000460	CNP0000460_P05T	37	7.62812634004149	16.2627485931984	19.0666917341194	19.9910017996401	16.9265643582312	16.9265643582312	372	3.845358693405
CNP0000460	CNP0000460_P06T	37	10.068506006006	18.2614369419925	19.6010607029052	19.9947033898305	18.9945963513244	18.9945963513244	234	2.61160714285714
CNP0000460	CNP0000460_P07N	37	8.17888799355359	18.3904679207036	19.6879018915438	19.99829801719	17.9332988562426	17.9332988562426	286	6.24045385118918
CNP0000460	CNP0000460_P07T	37	9.2278725268659	18.3249139469658	19.682477533512	19.9889411114183	19.1378294216216	19.1378294216216	127	2.60459392945037
GSE222315	GSE222315_p1_BCa	13	1.39603232916973	4.36974764757482	9.60350047668615	19.2046995029372	2.94241220055343	2.94241220055343	1002	11.5079820833812
GSE222315	GSE222315_p2_BCa	13	1.75761056863871	7.24125959943086	15.610432330827	19.9649737302977	4.59912909826238	4.59912909826238	1140	8.86262924667651
GSE222315	GSE222315_p2_NAT	13	0.564546480993602	1.91174783768445	5.62623139802975	18.6907020872865	1.32231070733663	1.32231070733663	951	10.3696434412823
GSE222315	GSE222315_p3_BCa	13	1.43852264498072	4.83161079302738	11.3132269417053	19.9312714776632	3.25848981216857	3.25848981216857	853	10.9611924955024
GSE222315	GSE222315_p4_BCa	13	1.50080139880519	5.58291097348554	12.3933241463788	18.4581171237954	3.31623739101116	3.31623739101116	696	12.0644825793032
GSE222315	GSE222315_p4_NAT	13	1.45538108004596	4.5644237532237	10.4006316985145	19.5882025598219	3.47920024798753	3.47920024798753	569	9.0360489121804
GSE222315	GSE222315_p5_BCa	13	1.41748519187334	6.25154958677686	12.5230041725843	19.8630136986301	3.14116017943721	3.14116017943721	988	15.218730745533
GSE222315	GSE222315_p5_NAT	13	1.42207053469852	4.39511413136862	8.97441268616267	19.5553880934439	2.99317950476564	2.99317950476564	620	11.1812443642922
GSE222315	GSE222315_p6_BCa	13	1.24588285837033	9.01617672592959	11.7100730141993	18.8044109112014	3.1818357198685	3.1818357198685	1053	21.0979763574434
GSE222315	GSE222315_p7_BCa	13	1.2219326006572	5.3318640128557	9.88550223123255	17.9770505737357	3.45195157843181	3.45195157843181	675	14.2766497461929
GSE222315	GSE222315_p8_BCa	13	0.43956043956044	2.52370859491673	5.099467088719	15.1471643933955	1.16964959880301	1.16964959880301	923	14.6275752773376
GSE222315	GSE222315_p9_BCa	13	2.17552594393757	12.5654041204096	17.8405137367526	19.8490466101695	6.57394374361357	6.57394374361357	1111	19.0631434454358
GSE135337	GSM4006644_BC1	13	2.66414575455483	8.15868878977613	9.3860839202101	9.99071590674644	8.13584922160753	8.13584922160753	162	5.16746411483254
GSE135337	GSM4006645_BC2	13	5.35813701019127	8.90811609253928	9.64092396295729	9.99767225325884	9.48855987284863	9.48855987284863	88	1.83104452767374
GSE135337	GSM4006646_BC3	13	5.06288294098678	9.3175658817124	9.87139267453224	10.0017639795378	11.8838034960169	11.8838034960169	0	0
GSE135337	GSM4006647_BC4	13	5.44216610202393	8.85279744320901	9.70786803859855	10.0051907604464	9.02739489843535	9.02739489843535	200	4.0650406504065
GSE135337	GSM4006648_BC5	13	3.95914764846804	8.14774229236903	9.4457510737611	10.0033456005353	7.49209692950623	7.49209692950623	592	7.3586078309509
GSE135337	GSM4751267_BC6	13	3.95926608726187	5.8487758668692	7.25118902242406	9.56031567080045	6.19375917600736	6.19375917600736	187	3.18949343339587
GSE135337	GSM4751268_BC7	13	6.89827543114221	9.56270510147496	9.91687824154604	10.0030243459852	10.6628691664293	10.6628691664293	0	0
GSE135337	GSM5329919_BCN	13	5.30849739745396	9.16666666666667	9.79817203641019	9.9967855994857	13.1108960493642	13.1108960493642	0	0
HRA003620	HRA003620_BC-01	37	4.47468573405605	11.2883322877036	16.8124318738793	19.8732083792723	8.79116347412151	8.79116347412151	736	10.028614252623
HRA003620	HRA003620_BC-04	37	7.48066298342541	15.8501957831625	19.0499956619191	19.9809251311397	15.7519595021397	15.7519595021397	213	5.22699386503067
HRA003620	HRA003620_BC-05	37	5.22248904650959	15.078358370955	18.8233504227746	19.9919710959454	13.2643657212821	13.2643657212821	578	8.22892938496583
HRA003620	HRA003620_BC-11	37	2.50807688990694	6.52766337612307	12.2355480067225	19.8538584922474	5.00260094138681	5.00260094138681	790	10.1230138390569
HRA003620	HRA003620_BC-24	37	8.57510041811668	18.0838155532068	19.5931673962425	19.994809913066	19.1685206707547	19.1685206707547	180	2.15930902111324
HRA003620	HRA003620_BC-27	36	4.17931773530988	14.2796277915334	18.6357757358252	19.9532710280374	9.70214026723676	9.70214026723676	713	13.6878479554617
HRA003620	HRA003620_BC-30	36	3.20063501021887	12.5680100926635	17.8563015112935	19.9328961415281	7.71397417903743	7.71397417903743	1406	15.069667738478
HRA003620	HRA003620_NC-01	37	4.64682731478285	12.0310478654593	17.5965200715129	19.8375437812058	8.48171162111254	8.48171162111254	252	12.4690747154874
HRA003620	HRA003620_NC-04	37	4.1564967695621	12.8841904833574	18.198865037101	19.9933906146728	8.86658858200778	8.86658858200778	866	13.3128362797848
HRA003620	HRA003620_NC-05	37	3.16610459783996	12.9672177410532	17.9697083989925	19.9504132231405	6.46153638048718	6.46153638048718	1126	17.408781694496
HRA003620	HRA003620_NC-11	37	3.17675398976212	10.0107348154304	15.933567673869	19.9618563254927	6.25838542628528	6.25838542628528	897	12.6142595978062
HRA003620	HRA003620_NC-24	37	7.16730902726571	18.4012926781523	19.7054909049602	19.9908246358527	17.5763167401762	17.5763167401762	362	8.31037649219467
HRA003620	HRA003620_NC-27	37	5.23955628982771	18.1835769468924	19.6488093414399	19.9983492901948	12.8413420424277	12.8413420424277	1816	22.1274521749726
HRA003620	HRA003620_NC-30	37	3.28165794421354	9.8752267275174	16.0882669739835	19.9425080848006	6.16156697191033	6.16156697191033	1605	13.9686684073107
InhouseData	T4091568	0	0	0	0	0	0	0	0	0
InhouseData	T4295396	0	0	0	0	0	0	0	0	0
InhouseData	T4380845	0	0	0	0	0	0	0	0	0
InhouseData	T4398343	0	0	0	0	0	0	0	0	0
InhouseData	T4450398	0	0	0	0	0	0	0	0	0
InhouseData	T4463209a	0	0	0	0	0	0	0	0	0
InhouseData	T4463209b	0	0	0	0	0	0	0	0	0
InhouseData	T4465219	0	0	0	0	0	0	0	0	0
InhouseData	T4465935	0	0	0	0	0	0	0	0	0
InhouseData	T4466585	0	0	0	0	0	0	0	0	0
InhouseData	T4469479	0	0	0	0	0	0	0	0	0
InhouseData	T4471438	0	0	0	0	0	0	0	0	0
InhouseData	T8009218	0	0	0	0	0	0	0	0	0
