level	group	initial_cells	Rule_A_old_retained	Rule_A_old_retention_pct	Rule_B_old_retained	Rule_B_old_retention_pct	Rule_D_new_retained	Rule_D_new_retention_pct	Rule_E_reference_retained	Rule_E_reference_retention_pct	D_minus_A	D_minus_B	dataset
orig.ident	CNP0000460_P01N	12987	11757	90.5289905289905	11757	90.5289905289905	12942	99.6534996534997	12942	99.6534996534997	1185	1185	CNP0000460
orig.ident	CNP0000460_P01T	10900	9667	88.6880733944954	9667	88.6880733944954	10897	99.9724770642202	10897	99.9724770642202	1230	1230	CNP0000460
orig.ident	CNP0000460_P02N	4372	3626	82.9368709972553	3836	87.740164684355	4117	94.167429094236	4068	93.0466605672461	491	281	CNP0000460
orig.ident	CNP0000460_P02T	10006	9968	99.620227863282	10005	99.9900059964022	10005	99.9900059964022	10005	99.9900059964022	37	0	CNP0000460
orig.ident	CNP0000460_P03N	5911	5099	86.2628996785654	5165	87.3794620199628	5662	95.7875148029098	5662	95.7875148029098	563	497	CNP0000460
orig.ident	CNP0000460_P03T	5410	4367	80.720887245841	4800	88.724584103512	5224	96.5619223659889	5224	96.5619223659889	857	424	CNP0000460
orig.ident	CNP0000460_P04T	12294	12135	98.7066861883846	12287	99.9430616560924	12287	99.9430616560924	12287	99.9430616560924	152	0	CNP0000460
orig.ident	CNP0000460_P05N	4615	3866	83.7703141928494	4072	88.2340195016251	4404	95.4279523293608	4338	93.9978331527627	538	332	CNP0000460
orig.ident	CNP0000460_P05T	9674	9299	96.1236303493901	9302	96.154641306595	9674	100	9674	100	375	372	CNP0000460
orig.ident	CNP0000460_P06T	8960	8673	96.796875	8725	97.3772321428571	8959	99.9888392857143	8959	99.9888392857143	286	234	CNP0000460
orig.ident	CNP0000460_P07N	4583	4293	93.672267073969	4294	93.6940868426795	4580	99.9345406938686	4580	99.9345406938686	287	286	CNP0000460
orig.ident	CNP0000460_P07T	4876	4749	97.3954060705496	4749	97.3954060705496	4876	100	4876	100	127	127	CNP0000460
orig.ident	GSE222315_p1_BCa	8707	7672	88.1130125186631	7704	88.4805329045596	8099	93.0171126679683	8099	93.0171126679683	427	395	GSE222315
orig.ident	GSE222315_p2_BCa	12863	11722	91.1295965171422	11723	91.1373707533235	12055	93.7184171655135	12055	93.7184171655135	333	332	GSE222315
orig.ident	GSE222315_p2_NAT	9171	7081	77.2107730890852	7305	79.6532548249918	8194	89.3468542143714	7881	85.9339221458947	1113	889	GSE222315
orig.ident	GSE222315_p3_BCa	7782	6026	77.4351066563865	6725	86.4173734258545	7261	93.3050629658185	6887	88.4991004883064	1235	536	GSE222315
orig.ident	GSE222315_p4_BCa	5769	4759	82.4926330386549	5069	87.8661813139192	5296	91.8010053735483	5286	91.6276651066043	537	227	GSE222315
orig.ident	GSE222315_p4_NAT	6297	4932	78.3230109575989	5559	88.2801333968556	5946	94.4259171033826	5676	90.1381610290615	1014	387	GSE222315
orig.ident	GSE222315_p5_BCa	6492	5489	84.5502156500308	5504	84.781269254467	5813	89.5409735058534	5813	89.5409735058534	324	309	GSE222315
orig.ident	GSE222315_p5_NAT	5545	4369	78.7917042380523	4776	86.131650135257	5146	92.8043282236249	4945	89.1794409377818	777	370	GSE222315
orig.ident	GSE222315_p6_BCa	4991	3459	69.3047485473853	3495	70.0260468843919	3931	78.7617711881387	3931	78.7617711881387	472	436	GSE222315
orig.ident	GSE222315_p7_BCa	4728	3959	83.7351945854484	4052	85.7021996615905	4392	92.8934010152284	4392	92.8934010152284	433	340	GSE222315
orig.ident	GSE222315_p8_BCa	6310	5277	83.6291600633914	5283	83.7242472266244	5680	90.0158478605388	5680	90.0158478605388	403	397	GSE222315
orig.ident	GSE222315_p9_BCa	5828	4542	77.9341111873713	4542	77.9341111873713	5092	87.3713109128346	5092	87.3713109128346	550	550	GSE222315
orig.ident	GSM4006644_BC1	3135	2784	88.8038277511962	2967	94.6411483253589	3135	100	3118	99.4577352472089	351	168	GSE135337
orig.ident	GSM4006645_BC2	4806	4376	91.0528506034124	4669	97.1493965875988	4794	99.7503121098627	4726	98.3354140657511	418	125	GSE135337
orig.ident	GSM4006646_BC3	3023	2905	96.0965927886206	3010	99.5699636123057	3023	100	3005	99.404565001654	118	13	GSE135337
orig.ident	GSM4006647_BC4	4920	4352	88.4552845528455	4614	93.780487804878	4878	99.1463414634146	4783	97.2154471544715	526	264	GSE135337
orig.ident	GSM4006648_BC5	8045	6598	82.0136730888751	6846	85.0963331261653	7686	95.5376009944065	7663	95.2517091361094	1088	840	GSE135337
orig.ident	GSM4751267_BC6	5863	4968	84.7347774177043	5271	89.9027801466826	5653	96.4182159304111	5496	93.7404059355279	685	382	GSE135337
orig.ident	GSM4751268_BC7	5279	4712	89.2593294184505	5112	96.8365220685736	5249	99.4317105512408	5049	95.6431142261792	537	137	GSE135337
orig.ident	GSM5329919_BCN	5744	5226	90.9818941504178	5648	98.3286908077994	5739	99.9129526462396	5606	97.5974930362117	513	91	GSE135337
orig.ident	HRA003620_BC-01	7339	5790	78.8935822319117	6128	83.4991143207521	6880	93.745741926693	6497	88.527047281646	1090	752	HRA003620
orig.ident	HRA003620_BC-04	4075	3115	76.441717791411	3115	76.441717791411	3723	91.361963190184	3723	91.361963190184	608	608	HRA003620
orig.ident	HRA003620_BC-05	7024	6444	91.7425968109339	6444	91.7425968109339	6832	97.2665148063781	6832	97.2665148063781	388	388	HRA003620
orig.ident	HRA003620_BC-11	7804	6280	80.4715530497181	6614	84.7514095335725	7273	93.1957970271656	7056	90.415171706817	993	659	HRA003620
orig.ident	HRA003620_BC-24	8336	8075	96.8690019193858	8090	97.0489443378119	8336	100	8336	100	261	246	HRA003620
orig.ident	HRA003620_BC-27	5209	4365	83.7972739489345	4440	85.2370896525245	4784	91.8410443463237	4774	91.6490689191783	419	344	HRA003620
orig.ident	HRA003620_BC-30	9330	7665	82.1543408360129	7854	84.1800643086817	8475	90.8360128617363	8472	90.8038585209003	810	621	HRA003620
orig.ident	HRA003620_NC-01	2021	1549	76.6452251360712	1673	82.7808015833746	1816	89.8565066798615	1804	89.2627412172192	267	143	HRA003620
orig.ident	HRA003620_NC-04	6505	5165	79.4004611837048	5222	80.2767102229055	5818	89.4388931591084	5818	89.4388931591084	653	596	HRA003620
orig.ident	HRA003620_NC-05	6468	5296	81.8800247371676	5336	82.4984539270254	5645	87.2758194186766	5645	87.2758194186766	349	309	HRA003620
